id,invoice_id,barcode,price,quantity,createtime
125298,869,8900000062362,1395,1,2012-12-26 14:41:51
125299,869,8900000062454,1395,1,2012-12-26 14:41:51
125300,869,8900000062522,1395,1,2012-12-26 14:41:51
125301,869,8900000062546,1395,1,2012-12-26 14:41:51
125302,869,8900000067572,595,1,2012-12-26 14:41:51
125303,869,8900000067619,595,1,2012-12-26 14:41:51
125304,869,8900000067770,595,1,2012-12-26 14:41:51
125305,869,8900000067787,595,3,2012-12-26 14:41:51
125306,869,8900000067824,595,1,2012-12-26 14:41:51
125307,869,8900000051250,1895,1,2012-12-26 14:41:51
125308,869,8900000051274,1895,3,2012-12-26 14:41:51
125309,869,8900000051342,1895,1,2012-12-26 14:41:51
125310,869,8900000055883,1195,1,2012-12-26 14:41:51
125311,869,8900000055968,1195,1,2012-12-26 14:41:51
125312,869,8900000002146,1795,1,2012-12-26 14:41:51
125313,869,8900000002399,1795,1,2012-12-26 14:41:51
125314,869,8900000002450,1795,1,2012-12-26 14:41:51
125315,869,8900000002535,1795,1,2012-12-26 14:41:51
125316,869,8900000003020,1695,1,2012-12-26 14:41:51
125317,869,8900000003273,1695,1,2012-12-26 14:41:51
125318,869,8900000003907,1695,1,2012-12-26 14:41:51
125319,869,8900000004713,1695,1,2012-12-26 14:41:51
125320,869,8900000005307,1195,1,2012-12-26 14:41:51
125321,869,8900000005819,1195,1,2012-12-26 14:41:51
125322,869,8900000006748,1195,1,2012-12-26 14:41:51
125323,869,8900000006755,1195,1,2012-12-26 14:41:51
125324,869,8900000006762,1195,1,2012-12-26 14:41:51
125325,869,8900000006830,1195,1,2012-12-26 14:41:51
125326,869,8900000007530,1195,1,2012-12-26 14:41:51
125327,869,8900000007868,1195,1,2012-12-26 14:41:51
125328,869,8900000009145,1695,1,2012-12-26 14:41:51
125329,869,8900000009602,1695,1,2012-12-26 14:41:51
125330,869,8900000010004,1695,1,2012-12-26 14:41:51
125331,869,8900000010042,1695,1,2012-12-26 14:41:51
125332,869,8900000010059,1695,1,2012-12-26 14:41:51
125333,869,8900000010172,1695,1,2012-12-26 14:41:51
125334,869,8900000010240,1695,1,2012-12-26 14:41:51
125335,869,8900000015559,1195,1,2012-12-26 14:41:51
125336,869,8900000015573,1195,1,2012-12-26 14:41:51
125337,869,8900000016495,1195,1,2012-12-26 14:41:51
125338,869,8900000018796,645,1,2012-12-26 14:41:51
125339,869,8900000019250,645,1,2012-12-26 14:41:51
125340,869,8900000021116,645,1,2012-12-26 14:41:51
125341,869,8900000021871,695,1,2012-12-26 14:41:51
125342,869,8900000021918,695,1,2012-12-26 14:41:51
125343,869,8900000021925,695,1,2012-12-26 14:41:51
125344,869,8900000022205,645,1,2012-12-26 14:41:51
125345,869,8900000020300,1795,1,2012-12-26 14:41:51
125346,869,8900000020645,1695,1,2012-12-26 14:41:51
125347,869,8900000018352,1495,1,2012-12-26 14:41:51
125348,869,8900000040858,595,1,2012-12-26 14:41:51
125349,869,8900000046966,645,1,2012-12-26 14:41:51
125350,869,8900000047000,645,1,2012-12-26 14:41:51
125351,869,8900000052073,1395,1,2012-12-26 14:41:51
125352,869,8900000052103,1395,1,2012-12-26 14:41:51
125353,869,8900000052752,595,1,2012-12-26 14:41:51
125354,869,8900000054299,645,1,2012-12-26 14:41:51
125355,869,8900000063376,1395,1,2012-12-26 14:41:51
125356,869,8900000063925,1695,1,2012-12-26 14:41:51
125357,869,8900000063970,1695,1,2012-12-26 14:41:51
125358,869,8900000064212,595,1,2012-12-26 14:41:51
125359,869,8900000064236,595,1,2012-12-26 14:41:51
125360,869,8900000064250,595,1,2012-12-26 14:41:51
125361,869,8900000064267,595,1,2012-12-26 14:41:51
125362,869,8900000064311,595,1,2012-12-26 14:41:51
125363,869,8900000064564,595,1,2012-12-26 14:41:51
125364,869,8900000065035,795,1,2012-12-26 14:41:51
125365,869,8900000065042,795,1,2012-12-26 14:41:51
125366,869,8900000062256,1395,1,2012-12-26 14:41:51
125367,869,8900000062263,1395,1,2012-12-26 14:41:51
125368,869,8900000062270,1395,1,2012-12-26 14:41:51
125369,869,8900000062355,1395,1,2012-12-26 14:41:51
125370,869,8900000067879,595,1,2012-12-26 14:41:51
125371,869,8900000067886,595,1,2012-12-26 14:41:51
125372,869,8900000068296,795,1,2012-12-26 14:41:51
125373,869,8900000071739,1695,1,2012-12-26 14:41:51
125374,869,8900000073245,595,1,2012-12-26 14:41:51
125375,869,8900000073351,645,1,2012-12-26 14:41:51
125376,869,8900000076741,695,1,2012-12-26 14:41:51
125377,869,8900000076758,695,2,2012-12-26 14:41:51
125378,869,8900000076765,695,1,2012-12-26 14:41:51
125379,869,8900000076796,695,1,2012-12-26 14:41:51
125380,869,8900000076802,695,1,2012-12-26 14:41:51
125381,869,8900000076840,695,1,2012-12-26 14:41:51
125382,869,8900000076895,695,1,2012-12-26 14:41:51
125383,869,8900000077120,695,1,2012-12-26 14:41:51
125384,869,8900000077144,695,2,2012-12-26 14:41:51
125385,869,8900000077335,695,1,2012-12-26 14:41:51
125386,869,8900000077571,695,1,2012-12-26 14:41:51
125387,869,8900000077816,695,1,2012-12-26 14:41:51
125388,869,8900000077823,695,1,2012-12-26 14:41:51
125389,869,8900000002061,1695,1,2012-12-26 14:41:51
125390,869,8900000004065,1395,1,2012-12-26 14:41:51
125391,869,8900000005925,795,1,2012-12-26 14:41:51
125392,869,8900000005987,795,1,2012-12-26 14:41:51
125393,869,8900000006144,1695,1,2012-12-26 14:41:51
125394,869,8900000006151,1695,1,2012-12-26 14:41:51
125395,869,8900000006175,1695,1,2012-12-26 14:41:51
125396,869,8900000006199,1695,1,2012-12-26 14:41:51
125397,869,8900000006205,1695,1,2012-12-26 14:41:51
125398,869,8900000006465,1795,1,2012-12-26 14:41:51
125399,869,8900000006496,1795,1,2012-12-26 14:41:51
125400,869,8900000006540,695,1,2012-12-26 14:41:51
125401,869,8900000006601,695,1,2012-12-26 14:41:51
125402,869,8900000006632,695,1,2012-12-26 14:41:51
125403,869,8900000016457,1395,1,2012-12-26 14:41:51
125404,869,8900000009046,1195,1,2012-12-26 14:41:51
125405,869,8900000010349,895,1,2012-12-26 14:41:51
125406,869,8900000016815,1095,1,2012-12-26 14:41:51
125407,869,8900000016884,1095,1,2012-12-26 14:41:51
125408,869,8900000017027,795,1,2012-12-26 14:41:51
125409,869,8900000021406,1195,1,2012-12-26 14:41:51
125410,869,8900000018130,1695,2,2012-12-26 14:41:51
125411,869,8900000018161,1695,1,2012-12-26 14:41:51
125412,869,8900000068548,895,1,2012-12-26 14:41:51
125413,869,8900000070909,1495,1,2012-12-26 14:41:51
125414,869,8900000070930,1495,1,2012-12-26 14:41:51
